                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.76717,                0.44925,                0.35321,                0.76922,                0.98236,                0.98783,                0.99214,                0.77614,                0.97536,                0.98087,                0.98395,                0.69823,                0.71903,                0.44902,                 0.3459,                0.73465,             0.00083701,             0.00083701,             0.00083701
                     26,                0.77763,                0.47154,                 0.3588,                0.77293,                0.98322,                0.98885,                0.99156,                 0.7766,                0.97659,                 0.9825,                0.98654,                0.69758,                0.74125,                0.48232,                0.35494,                0.74117,             0.00083401,             0.00083401,             0.00083401
                     27,                0.76168,                0.45033,                0.35473,                0.77265,                 0.9864,                0.98821,                0.99228,                0.77889,                0.97693,                0.97851,                0.98153,                 0.6985,                0.72785,                0.45368,                0.35284,                0.73572,             0.00083101,             0.00083101,             0.00083101
                     28,                0.77833,                0.46248,                0.35797,                0.77558,                0.97944,                0.98733,                0.99276,                0.77783,                0.97304,                0.98106,                0.98518,                0.70134,                0.73508,                0.45475,                0.35217,                0.74056,             0.00082801,             0.00082801,             0.00082801
                     29,                0.76456,                0.42821,                0.35124,                0.76937,                0.98133,                 0.9906,                0.99195,                0.77878,                0.97593,                0.98552,                0.98484,                0.69856,                0.72795,                0.43634,                 0.3499,                0.73126,             0.00082501,             0.00082501,             0.00082501
                     30,                0.75979,                0.43512,                 0.3499,                0.76743,                0.99011,                0.98756,                 0.9941,                0.78075,                0.98206,                0.97943,                0.98748,                0.70597,                0.73279,                0.43215,                0.34751,                 0.7312,             0.00082201,             0.00082201,             0.00082201
                     31,                0.75335,                0.41917,                  0.348,                0.76588,                0.99024,                0.98767,                0.99354,                0.78154,                0.98467,                0.98245,                0.98788,                0.70886,                0.71725,                 0.4135,                0.33883,                0.72983,             0.00081901,             0.00081901,             0.00081901
                     32,                0.73798,                0.40964,                0.33983,                0.76215,                0.98856,                0.98836,                0.99269,                0.77854,                0.98455,                0.98456,                0.98762,                0.70795,                0.71655,                0.42233,                0.33289,                0.72926,             0.00081601,             0.00081601,             0.00081601
                     33,                0.72727,                0.40429,                0.33556,                   0.76,                0.99088,                0.98749,                0.99282,                0.78859,                0.98312,                0.97997,                0.98505,                0.71195,                0.68903,                 0.3887,                0.33101,                0.72403,             0.00081301,             0.00081301,             0.00081301
                     34,                0.74018,                0.42168,                0.34237,                0.76383,                0.99044,                0.99076,                0.99328,                 0.7835,                0.98312,                 0.9823,                0.98917,                0.70395,                0.70913,                0.41617,                0.34844,                  0.727,             0.00081001,             0.00081001,             0.00081001
                     35,                0.74244,                0.41589,                0.34592,                0.76598,                0.98837,                0.98658,                0.99283,                0.78141,                0.97961,                0.97783,                0.98583,                 0.7092,                0.72183,                0.42423,                0.34428,                0.73289,             0.00080701,             0.00080701,             0.00080701
                     36,                 0.7316,                0.41246,                0.34062,                0.76159,                0.98083,                0.98585,                0.99298,                0.78568,                0.97546,                0.98075,                0.98865,                0.70545,                0.69223,                0.40922,                0.33252,                0.72801,             0.00080401,             0.00080401,             0.00080401
                     37,                0.72929,                0.39972,                0.33559,                0.76241,                0.98509,                0.98524,                0.99353,                0.78098,                0.97661,                0.97775,                0.98684,                0.71331,                0.70688,                0.39974,                0.33895,                0.73002,             0.00080101,             0.00080101,             0.00080101
                     38,                0.72205,                0.38243,                0.33372,                0.76106,                 0.9889,                0.98581,                0.99337,                0.79043,                0.98261,                0.97938,                0.98656,                0.71194,                0.68332,                 0.4051,                0.32292,                0.72329,             0.00079801,             0.00079801,             0.00079801
